Date,BALANCA_COMERCIAL,BALTIC_DRY,CDS,CUSTO_LOGISTICA,DIVIDA_PUBLICA,DI_FUTURO,DOLAR,ENERGIA,FRETES,INVESTIMENTO_ESTRANGEIRO,MILHO_BR,MILHO_US,PIB_BR,RESERVAS_INTERNACIONAIS,SELIC,SOJA_BR,SOJA_US
2020-12-04,-1560.413043478261,210032.32061068705,-29749161.73913044,48818.75564885497,-4.956521739130435,0.007469,5.151000022888184,1851.0869565217392,37287.782608695656,1401.6521739130435,36776.260869565216,417.0,702359.6347826087,356684.0,2.0,78761.0,1163.0
2020-12-07,-1592.4173913043478,210035.90458015268,-30704464.65217392,48826.45236641222,-4.998695652173913,0.007469,5.154399871826172,1845.782608695652,37011.04347826087,1501.4695652173914,36233.34782608696,419.5,701178.0130434782,356890.0,2.0,78761.0,1158.5
2020-12-08,-1624.4217391304348,210039.4885496183,-31659767.56521739,48834.14908396947,-5.040869565217391,0.007469,5.098299980163574,1840.4782608695648,36734.30434782609,1601.2869565217393,35690.434782608696,417.0,699996.3913043478,356988.0,2.0,78761.0,1145.75
2020-12-09,-1656.426086956522,210043.072519084,-32615070.478260867,48841.84580152672,-5.083043478260869,0.007469,5.119699954986572,1835.1739130434785,36457.5652173913,1701.1043478260872,35147.52173913043,422.0,698814.7695652174,356735.0,2.0,78761.0,1158.5
2020-12-10,-1688.4304347826087,210046.6564885496,-33570373.391304344,48849.54251908397,-5.125217391304348,0.007469,5.169700145721436,1829.869565217392,36180.82608695652,1800.9217391304348,34604.608695652176,420.25,697633.147826087,356785.0,2.0,78761.0,1152.75
2020-12-11,-1720.4347826086955,210050.2404580153,-34525676.30434783,48857.23923664122,-5.167391304347826,0.007469,5.024199962615967,1824.5652173913045,35904.086956521736,1900.7391304347827,34061.69565217391,424.25,696451.5260869565,356933.0,2.0,78761.0,1160.5
2020-12-14,-1752.4391304347826,210053.82442748093,-35480979.217391305,48864.93595419848,-5.2095652173913045,0.007469,5.064199924468994,1819.2608695652173,35627.34782608696,2000.5565217391304,33518.78260869565,419.25,695269.904347826,356958.0,2.0,78761.0,1169.5
2020-12-15,-1784.4434782608696,210057.40839694656,-36436282.13043478,48872.63267175573,-5.251739130434783,0.007469,5.117700099945068,1813.9565217391305,35350.608695652176,2100.3739130434783,32975.86956521739,424.75,694088.2826086957,357187.0,2.0,78761.0,1184.25
2020-12-16,-1816.4478260869564,210060.99236641225,-37391585.043478265,48880.32938931298,-5.293913043478261,0.007469,5.078884124755859,1808.6521739130435,35073.86956521739,2200.191304347826,32432.95652173913,427.25,692906.6608695652,357438.0,2.0,78761.0,1183.75
2020-12-17,-1848.452173913044,210064.57633587785,-38346887.956521735,48888.02610687023,-5.336086956521739,0.007469,5.083199977874756,1803.3478260869565,34797.13043478261,2300.008695652174,31890.04347826087,432.5,691725.0391304347,357813.0,2.0,78761.0,1201.25
2020-12-18,-1880.4565217391305,210068.1603053435,-39302190.86956522,48895.72282442748,-5.378260869565217,0.007469,5.056900024414063,1798.0434782608695,34520.391304347824,2399.826086956522,31347.130434782608,437.5,690543.4173913043,357692.0,2.0,78761.0,1220.0
