Date,BALANCA_COMERCIAL,BALTIC_DRY,CDS,CUSTO_LOGISTICA,DIVIDA_PUBLICA,DI_FUTURO,DOLAR,ENERGIA,FRETES,INVESTIMENTO_ESTRANGEIRO,MILHO_BR,MILHO_US,PIB_BR,RESERVAS_INTERNACIONAIS,SELIC,SOJA_BR,SOJA_US
2022-06-22,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.122799873352051,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,768.0,825447.525,340683.0,13.25,70979.25,1652.75
2022-06-23,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.193600177764893,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,746.75,825447.525,342090.0,13.25,70979.25,1593.25
2022-06-24,5398.681818181818,209634.5,-59847979.5,47964.42,-1.7668181818181818,0.049037,5.23799991607666,1999.590909090909,33182.681818181816,6289.686363636363,43136.86363636363,750.25,863606.0181818182,341786.0,13.25,70979.25,1610.75
2022-06-27,5243.745454545455,209634.5,-61271585.0,47964.42,-1.7654545454545454,0.049037,5.241399765014648,2003.2727272727277,33259.545454545456,6467.00909090909,42891.09090909091,744.25,864802.6545454545,341369.0,13.25,70979.25,1630.5
2022-06-28,5088.809090909091,209634.5,-62695190.5,47964.42,-1.7640909090909092,0.049037,5.236800193786621,2006.9545454545453,33336.40909090909,6644.331818181819,42645.31818181818,759.5,865999.2909090909,340438.0,13.25,70979.25,1663.75
2022-06-29,4933.872727272727,209634.5,-64118796.0,47964.42,-1.7627272727272727,0.049037,5.266600131988525,2010.6363636363635,33413.27272727273,6821.654545454546,42399.545454545456,770.25,867195.9272727272,341097.0,13.25,70979.25,1674.25
2022-06-30,4778.936363636363,209634.5,-65542401.5,47964.42,-1.7613636363636365,0.049037,5.180900096893311,2014.3181818181815,33490.13636363636,6998.977272727273,42153.77272727273,743.75,868392.5636363636,341958.0,13.25,70979.25,1675.0
2022-07-01,4624.0,209634.5,-66966007.0,47964.42,-1.76,0.049037,5.251999855041504,2018.0,33567.0,7176.3,41908.0,754.5,869589.2,343236.0,13.25,70979.25,1626.0
2022-07-04,4557.990476190476,209634.5,-64492778.047619045,47964.42,-1.74,0.049037,5.330999851226807,2023.3809523809523,33827.57142857143,7297.961904761905,42140.857142857145,745.25,869782.8857142857,343235.0,13.25,70979.25,1600.625
2022-07-05,4491.980952380953,209634.5,-62019549.0952381,47964.42,-1.72,0.049037,5.3282999992370605,2028.7619047619048,34088.142857142855,7419.6238095238095,42373.71428571428,736.0,869976.5714285714,343276.0,13.25,70979.25,1575.25
2022-07-06,4425.971428571429,209634.5,-59546320.14285714,47964.42,-1.7,0.049037,5.385200023651123,2034.142857142857,34348.71428571428,7541.285714285715,42606.57142857143,744.25,870170.2571428571,342293.0,13.25,70979.25,1580.25
2022-07-07,4359.961904761904,209634.5,-57073091.190476194,47964.42,-1.68,0.049037,5.427999973297119,2039.5238095238096,34609.28571428572,7662.94761904762,42839.42857142857,747.0,870363.9428571428,341329.0,13.25,70979.25,1591.25
2022-07-08,4293.952380952381,209634.5,-54599862.23809524,47964.42,-1.66,0.049037,5.338200092315674,2044.904761904762,34869.857142857145,7784.609523809524,43072.28571428572,778.25,870557.6285714285,340766.0,13.25,70979.25,1630.25
2022-07-11,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.254000186920166,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,781.25,825447.525,341010.0,13.25,70979.25,1641.0
2022-07-12,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.377200126647949,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,732.75,825447.525,341389.0,13.25,70979.25,1592.75
2022-07-13,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.436500072479248,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,740.0,825447.525,341142.0,13.25,70979.25,1588.25
2022-07-14,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.390900135040283,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,695.0,825447.525,340108.0,13.25,70979.25,1610.0
2022-07-15,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.422800064086914,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,604.25,825447.525,340950.0,13.25,70979.25,1466.0
2022-07-18,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.410099983215332,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,612.25,825447.525,340840.0,13.25,70979.25,1497.25
2022-07-19,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.436800003051758,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,596.75,825447.525,341292.0,13.25,70979.25,1477.25
2022-07-20,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.413099765777588,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,592.25,825447.525,340953.0,13.25,70979.25,1449.0
2022-07-21,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.470200061798096,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,575.75,825447.525,341649.0,13.25,70979.25,1418.5
2022-07-22,4924.952272727272,209634.5,-35996654.70454545,47964.42,-3.040909090909091,0.049037,5.497799873352051,1997.7209302325584,35417.13636363636,5350.432558139535,33165.558139534885,564.25,825447.525,343538.0,13.25,70979.25,1434.5
2022-07-25,3567.8476190476194,209634.5,-27394343.76190476,47964.42,-1.44,0.049037,5.496699810028076,2104.095238095238,37736.142857142855,9122.890476190478,45633.71428571428,580.0,872688.1714285715,343521.0,13.25,70979.25,1473.0
2022-07-26,3501.838095238096,209634.5,-24921114.80952381,47964.42,-1.42,0.049037,5.356299877166748,2109.4761904761904,37996.71428571428,9244.552380952382,45866.57142857143,597.0,872881.8571428572,343717.0,13.25,70979.25,1532.75
2022-07-27,3435.828571428572,209634.5,-22447885.85714286,47964.42,-1.4,0.049037,5.350100040435791,2114.8571428571427,38257.28571428571,9366.214285714286,46099.42857142857,600.25,873075.5428571429,343729.0,13.25,70979.25,1578.75
2022-07-28,3369.8190476190475,209634.5,-19974656.904761903,47964.42,-1.38,0.049037,5.243000030517578,2120.2380952380954,38517.857142857145,9487.876190476192,46332.28571428572,615.0,873269.2285714286,345630.0,13.25,70979.25,1609.25
2022-07-29,3303.809523809524,209634.5,-17501427.952380955,47964.42,-1.36,0.049037,5.182700157165527,2125.619047619048,38778.42857142857,9609.538095238097,46565.142857142855,616.25,873462.9142857143,346403.0,13.25,70979.25,1637.0
2022-08-01,3237.8,209634.5,-15028199.0,47964.42,-1.34,0.049037,5.171199798583984,2131.0,39039.0,9731.2,46798.0,607.0,873656.6,346867.0,13.25,70979.25,1594.25
2022-08-02,3207.826086956522,209634.5,-15788489.260869564,47964.42,-1.3347826086956522,0.049037,5.184000015258789,2130.260869565217,38959.34782608696,9706.195652173914,46004.34782608696,591.25,872973.1,345649.0,13.25,70979.25,1569.25
2022-08-03,3177.852173913044,209634.5,-16548779.52173913,47964.42,-1.3295652173913044,0.049037,5.277699947357178,2129.521739130435,38879.69565217391,9681.191304347827,45210.69565217391,591.5,872289.6,344179.0,13.25,70979.25,1558.0
2022-08-04,3147.8782608695656,209634.5,-17309069.782608695,47964.42,-1.3243478260869566,0.050788,5.282700061798096,2128.782608695652,38800.04347826087,9656.18695652174,44417.04347826087,602.25,871606.1,345484.0,13.75,70979.25,1615.0
