Date,Value,source,feature_code,description
2020-02-12,892.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-12,4.25,bcb,SELIC,Taxa Selic
2020-02-12,4.327530860900879,yahoo,DOLAR,Dólar/Real
2020-02-13,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-13,358798.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-13,4.25,bcb,SELIC,Taxa Selic
2020-02-13,379.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-13,4.354499816894531,yahoo,DOLAR,Dólar/Real
2020-02-13,896.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-14,358955.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-14,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-14,893.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-14,4.346766948699951,yahoo,DOLAR,Dólar/Real
2020-02-14,4.25,bcb,SELIC,Taxa Selic
2020-02-14,377.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-15,4.25,bcb,SELIC,Taxa Selic
2020-02-16,4.25,bcb,SELIC,Taxa Selic
2020-02-17,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-17,358943.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-17,4.25,bcb,SELIC,Taxa Selic
2020-02-17,4.296999931335449,yahoo,DOLAR,Dólar/Real
2020-02-18,4.326499938964844,yahoo,DOLAR,Dólar/Real
2020-02-18,383.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-18,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-18,4.25,bcb,SELIC,Taxa Selic
2020-02-18,359203.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-18,892.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-19,358912.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-02-19,4.25,bcb,SELIC,Taxa Selic
2020-02-19,0.016137,bcb,DI_FUTURO,Taxa DI-Over
2020-02-19,897.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-19,380.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-19,4.354800224304199,yahoo,DOLAR,Dólar/Real
2020-02-20,4.363999843597412,yahoo,DOLAR,Dólar/Real
2020-02-20,378.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-02-20,892.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-02-20,4.25,bcb,SELIC,Taxa Selic
