Date,Value,feature_code,source,description
2020-01-07,4.5,SELIC,bcb,Taxa Selic
2020-01-07,87101.56923076924,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-07,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-08,-2655.8076923076924,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-08,209182.91984732824,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-08,-44283780.15384615,CDS,bcb,Brazil CDS 5Y
2020-01-08,46994.63358778626,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-08,-4.836153846153846,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-08,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-08,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-08,1729.9885057471265,ENERGIA,bcb,Energia Elétrica
2020-01-08,28194.53846153846,FRETES,bcb,Índice de Fretes
2020-01-08,2694.7692307692305,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-08,19523.07692307692,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-08,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-08,610419.9461538461,PIB_BR,bcb,PIB Brasil
2020-01-08,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-08,4.5,SELIC,bcb,Taxa Selic
2020-01-08,85765.46153846153,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-08,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-09,-2530.0292307692307,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-09,209186.5038167939,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-09,-44188089.78461538,CDS,bcb,Brazil CDS 5Y
2020-01-09,47002.33030534352,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-09,-4.913384615384616,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-09,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-09,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-09,1727.5862068965516,ENERGIA,bcb,Energia Elétrica
2020-01-09,27922.24615384616,FRETES,bcb,Índice de Fretes
2020-01-09,2666.103076923077,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-09,19317.89230769231,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-09,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-09,609712.4153846153,PIB_BR,bcb,PIB Brasil
2020-01-09,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-09,4.5,SELIC,bcb,Taxa Selic
2020-01-09,84429.35384615384,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-09,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-10,-2404.250769230769,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-10,209190.0877862596,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-10,-44092399.41538461,CDS,bcb,Brazil CDS 5Y
2020-01-10,47010.027022900766,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-10,-4.990615384615385,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-10,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-10,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-10,1725.183908045977,ENERGIA,bcb,Energia Elétrica
2020-01-10,27649.953846153847,FRETES,bcb,Índice de Fretes
2020-01-10,2637.436923076923,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-10,19112.707692307693,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-10,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-10,609004.8846153846,PIB_BR,bcb,PIB Brasil
2020-01-10,359027.0,RESERVAS_INTERNACIONAIS,bcb,Reservas Internacionais
2020-01-10,4.5,SELIC,bcb,Taxa Selic
2020-01-10,83093.24615384615,SOJA_BR,bcb,Soja Brasil - Preço Médio Atacado
2020-01-10,876.25,SOJA_US,yahoo,Soja EUA (Futuros)
2020-01-13,-2278.472307692308,BALANCA_COMERCIAL,bcb,Balança Comercial
2020-01-13,209193.6717557252,BALTIC_DRY,bcb,Baltic Dry Index
2020-01-13,-43996709.04615384,CDS,bcb,Brazil CDS 5Y
2020-01-13,47017.723740458016,CUSTO_LOGISTICA,bcb,Custo Logístico
2020-01-13,-5.067846153846154,DIVIDA_PUBLICA,bcb,Dívida Pública
2020-01-13,0.017089,DI_FUTURO,bcb,Taxa DI-Over
2020-01-13,4.282599925994873,DOLAR,yahoo,Dólar/Real
2020-01-13,1722.7816091954023,ENERGIA,bcb,Energia Elétrica
2020-01-13,27377.66153846154,FRETES,bcb,Índice de Fretes
2020-01-13,2608.770769230769,INVESTIMENTO_ESTRANGEIRO,bcb,Investimento Estrangeiro
2020-01-13,18907.52307692308,MILHO_BR,bcb,Milho Brasil - Preço Médio Atacado
2020-01-13,379.5,MILHO_US,yahoo,Milho EUA (Futuros)
2020-01-13,608297.3538461538,PIB_BR,bcb,PIB Brasil
