Date,Value,source,feature_code
2020-03-30,341.25,yahoo,MILHO_US
2020-03-30,882.25,yahoo,SOJA_US
2020-03-31,886.0,yahoo,SOJA_US
2020-03-31,5.192699909210205,yahoo,DOLAR
2020-03-31,340.75,yahoo,MILHO_US
2020-04-01,862.75,yahoo,SOJA_US
2020-04-01,5.203499794006348,yahoo,DOLAR
2020-04-01,334.75,yahoo,MILHO_US
2020-04-02,5.248199939727783,yahoo,DOLAR
2020-04-02,333.5,yahoo,MILHO_US
2020-04-02,858.75,yahoo,SOJA_US
2020-04-03,854.25,yahoo,SOJA_US
2020-04-03,5.255300045013428,yahoo,DOLAR
2020-04-03,330.75,yahoo,MILHO_US
2020-04-06,855.5,yahoo,SOJA_US
2020-04-06,5.348499774932861,yahoo,DOLAR
2020-04-06,327.75,yahoo,MILHO_US
2020-04-07,854.75,yahoo,SOJA_US
2020-04-07,5.285299777984619,yahoo,DOLAR
2020-04-07,331.5,yahoo,MILHO_US
2020-04-08,5.221700191497803,yahoo,DOLAR
2020-04-08,330.0,yahoo,MILHO_US
2020-04-08,854.5,yahoo,SOJA_US
2020-04-09,5.123499870300293,yahoo,DOLAR
2020-04-09,863.5,yahoo,SOJA_US
2020-04-09,331.75,yahoo,MILHO_US
2020-04-10,5.105800151824951,yahoo,DOLAR
2020-04-13,854.25,yahoo,SOJA_US
2020-04-13,331.5,yahoo,MILHO_US
2020-04-13,5.105500221252441,yahoo,DOLAR
2020-04-14,326.0,yahoo,MILHO_US
2020-04-14,5.198500156402588,yahoo,DOLAR
2020-04-14,847.0,yahoo,SOJA_US
2020-04-15,5.1620001792907715,yahoo,DOLAR
2020-04-15,842.0,yahoo,SOJA_US
2020-04-15,319.25,yahoo,MILHO_US
2020-04-16,5.236999988555908,yahoo,DOLAR
2020-04-16,319.75,yahoo,MILHO_US
2020-04-16,836.75,yahoo,SOJA_US
2020-04-17,832.5,yahoo,SOJA_US
2020-04-17,5.230899810791016,yahoo,DOLAR
2020-04-17,322.25,yahoo,MILHO_US
2020-04-20,826.5,yahoo,SOJA_US
2020-04-20,314.25,yahoo,MILHO_US
2020-04-20,5.232699871063232,yahoo,DOLAR
2020-04-21,309.25,yahoo,MILHO_US
2020-04-21,830.75,yahoo,SOJA_US
2020-04-21,5.315400123596191,yahoo,DOLAR
2020-04-22,834.75,yahoo,SOJA_US
2020-04-22,5.315000057220459,yahoo,DOLAR
2020-04-22,317.5,yahoo,MILHO_US
2020-04-23,319.25,yahoo,MILHO_US
2020-04-23,5.456900119781494,yahoo,DOLAR
2020-04-23,839.25,yahoo,SOJA_US
2020-04-24,5.533100128173828,yahoo,DOLAR
2020-04-24,832.25,yahoo,SOJA_US
2020-04-24,315.75,yahoo,MILHO_US
2020-04-27,305.5,yahoo,MILHO_US
2020-04-27,5.5725998878479,yahoo,DOLAR
2020-04-27,829.0,yahoo,SOJA_US
2020-04-28,5.652599811553955,yahoo,DOLAR
2020-04-28,826.0,yahoo,SOJA_US
2020-04-28,302.75,yahoo,MILHO_US
2020-04-29,831.75,yahoo,SOJA_US
2020-04-29,304.5,yahoo,MILHO_US
2020-04-29,5.497399806976318,yahoo,DOLAR
2020-04-30,850.25,yahoo,SOJA_US
2020-04-30,311.5,yahoo,MILHO_US
2020-04-30,5.334799766540527,yahoo,DOLAR
2020-05-01,847.25,yahoo,SOJA_US
2020-05-01,5.486000061035156,yahoo,DOLAR
2020-05-01,311.5,yahoo,MILHO_US
2020-05-04,5.4770002365112305,yahoo,DOLAR
2020-05-04,834.0,yahoo,SOJA_US
2020-05-04,310.75,yahoo,MILHO_US
2020-05-05,5.540599822998047,yahoo,DOLAR
2020-05-05,313.0,yahoo,MILHO_US
2020-05-05,838.25,yahoo,SOJA_US
2020-05-06,5.578100204467773,yahoo,DOLAR
2020-05-06,830.5,yahoo,SOJA_US
2020-05-06,311.75,yahoo,MILHO_US
2020-05-07,5.715199947357178,yahoo,DOLAR
2020-05-07,316.0,yahoo,MILHO_US
2020-05-07,841.5,yahoo,SOJA_US
2020-05-08,848.75,yahoo,SOJA_US
2020-05-08,5.828719139099121,yahoo,DOLAR
2020-05-08,319.0,yahoo,MILHO_US
2020-05-11,5.4770002365112305,yahoo,DOLAR
2020-05-11,318.5,yahoo,MILHO_US
2020-05-11,852.25,yahoo,SOJA_US
2020-05-12,5.8171000480651855,yahoo,DOLAR
2020-05-12,323.75,yahoo,MILHO_US
2020-05-12,849.25,yahoo,SOJA_US
2020-05-13,320.25,yahoo,MILHO_US
2020-05-13,836.0,yahoo,SOJA_US
2020-05-13,5.884799957275391,yahoo,DOLAR
2020-05-14,835.25,yahoo,SOJA_US
2020-05-14,320.25,yahoo,MILHO_US
2020-05-14,5.88640022277832,yahoo,DOLAR
2020-05-15,319.25,yahoo,MILHO_US
2020-05-15,5.8094000816345215,yahoo,DOLAR
2020-05-15,838.5,yahoo,SOJA_US
2020-05-18,5.855199813842773,yahoo,DOLAR
2020-05-18,845.0,yahoo,SOJA_US
2020-05-18,320.75,yahoo,MILHO_US
2020-05-19,5.718999862670898,yahoo,DOLAR
2020-05-19,842.5,yahoo,SOJA_US
2020-05-19,321.25,yahoo,MILHO_US
2020-05-20,5.755199909210205,yahoo,DOLAR
2020-05-20,846.75,yahoo,SOJA_US
2020-05-20,319.5,yahoo,MILHO_US
2020-05-21,317.75,yahoo,MILHO_US
2020-05-21,835.0,yahoo,SOJA_US
2020-05-21,5.690499782562256,yahoo,DOLAR
2020-05-22,318.0,yahoo,MILHO_US
2020-05-22,5.5524001121521,yahoo,DOLAR
2020-05-22,833.25,yahoo,SOJA_US
2020-05-25,5.52869987487793,yahoo,DOLAR
2020-05-26,319.0,yahoo,MILHO_US
2020-05-26,5.443399906158447,yahoo,DOLAR
2020-05-26,847.0,yahoo,SOJA_US
2020-05-27,320.5,yahoo,MILHO_US
2020-05-27,5.343999862670898,yahoo,DOLAR
2020-05-27,848.5,yahoo,SOJA_US
2020-05-28,847.0,yahoo,SOJA_US
2020-05-28,5.27269983291626,yahoo,DOLAR
2020-05-28,327.5,yahoo,MILHO_US
2020-05-29,840.75,yahoo,SOJA_US
2020-05-29,5.403600215911865,yahoo,DOLAR
2020-05-29,325.75,yahoo,MILHO_US
2020-06-01,840.5,yahoo,SOJA_US
2020-06-01,5.334799766540527,yahoo,DOLAR
2020-06-01,323.25,yahoo,MILHO_US
2020-06-02,5.366499900817871,yahoo,DOLAR
2020-06-02,324.25,yahoo,MILHO_US
2020-06-02,850.5,yahoo,SOJA_US
2020-06-03,324.0,yahoo,MILHO_US
2020-06-03,857.5,yahoo,SOJA_US
2020-06-03,5.1992998123168945,yahoo,DOLAR
2020-06-04,867.75,yahoo,SOJA_US
2020-06-04,5.061600208282471,yahoo,DOLAR
2020-06-04,329.0,yahoo,MILHO_US
2020-06-05,867.75,yahoo,SOJA_US
2020-06-05,331.25,yahoo,MILHO_US
2020-06-05,5.117199897766113,yahoo,DOLAR
2020-06-08,864.75,yahoo,SOJA_US
2020-06-08,333.75,yahoo,MILHO_US
2020-06-08,4.959499835968018,yahoo,DOLAR
2020-06-09,327.5,yahoo,MILHO_US
2020-06-09,863.25,yahoo,SOJA_US
2020-06-09,4.821599960327148,yahoo,DOLAR
2020-06-10,326.25,yahoo,MILHO_US
2020-06-10,865.5,yahoo,SOJA_US
2020-06-10,4.898399829864502,yahoo,DOLAR
2020-06-11,4.9721999168396,yahoo,DOLAR
2020-06-11,329.75,yahoo,MILHO_US
2020-06-11,866.0,yahoo,SOJA_US
2020-06-12,871.25,yahoo,SOJA_US
2020-06-12,330.0,yahoo,MILHO_US
2020-06-12,4.974999904632568,yahoo,DOLAR
2020-06-15,5.047800064086914,yahoo,DOLAR
2020-06-15,329.25,yahoo,MILHO_US
2020-06-15,869.0,yahoo,SOJA_US
2020-06-16,867.0,yahoo,SOJA_US
2020-06-16,5.153206825256348,yahoo,DOLAR
2020-06-16,329.0,yahoo,MILHO_US
2020-06-17,5.243599891662598,yahoo,DOLAR
2020-06-17,330.25,yahoo,MILHO_US
2020-06-17,871.25,yahoo,SOJA_US
2020-06-18,5.22790002822876,yahoo,DOLAR
2020-06-18,331.0,yahoo,MILHO_US
2020-06-18,873.0,yahoo,SOJA_US
2020-06-19,332.5,yahoo,MILHO_US
2020-06-19,5.377200126647949,yahoo,DOLAR
2020-06-19,876.5,yahoo,SOJA_US
2020-06-22,876.25,yahoo,SOJA_US
2020-06-22,328.25,yahoo,MILHO_US
2020-06-22,5.309999942779541,yahoo,DOLAR
2020-06-23,325.0,yahoo,MILHO_US
2020-06-23,5.2519001960754395,yahoo,DOLAR
2020-06-23,875.0,yahoo,SOJA_US
2020-06-24,324.25,yahoo,MILHO_US
2020-06-24,870.75,yahoo,SOJA_US
2020-06-24,5.151000022888184,yahoo,DOLAR
2020-06-25,5.34660005569458,yahoo,DOLAR
2020-06-25,317.25,yahoo,MILHO_US
2020-06-25,869.25,yahoo,SOJA_US
2020-06-26,865.0,yahoo,SOJA_US
2020-06-26,317.0,yahoo,MILHO_US
2020-06-26,5.359499931335449,yahoo,DOLAR
2020-06-29,866.5,yahoo,SOJA_US
2020-06-29,326.25,yahoo,MILHO_US
2020-06-29,5.480899810791016,yahoo,DOLAR
2020-06-30,338.5,yahoo,MILHO_US
2020-06-30,884.25,yahoo,SOJA_US
2020-06-30,5.402100086212158,yahoo,DOLAR
2020-07-01,348.25,yahoo,MILHO_US
2020-07-01,893.75,yahoo,SOJA_US
2020-07-01,5.461699962615967,yahoo,DOLAR
2020-07-02,342.5,yahoo,MILHO_US
2020-07-02,892.5,yahoo,SOJA_US
2020-07-02,5.316199779510498,yahoo,DOLAR
2020-07-03,5.35890007019043,yahoo,DOLAR
2020-07-06,898.5,yahoo,SOJA_US
2020-07-06,346.5,yahoo,MILHO_US
2020-07-06,5.311399936676025,yahoo,DOLAR
2020-07-07,345.0,yahoo,MILHO_US
2020-07-07,5.354300022125244,yahoo,DOLAR
2020-07-07,895.25,yahoo,SOJA_US
2020-07-08,348.25,yahoo,MILHO_US
2020-07-08,5.377799987792969,yahoo,DOLAR
2020-07-08,894.75,yahoo,SOJA_US
2020-07-09,898.25,yahoo,SOJA_US
2020-07-09,351.25,yahoo,MILHO_US
2020-07-09,5.342599868774414,yahoo,DOLAR
2020-07-10,891.5,yahoo,SOJA_US
